"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","Extroversion","Neuroticism","Agreeableness","Conscientiousness","openness"
40,"Unanswered","GB",3,4,4,2,2,2,4,4,4,3,4,3,4,3,3,0.73,0.4,0.8,0.67,0.67
23,"Female","AE",1,2,2,5,5,5,1,4,5,3,5,2,1,5,4,0.33,1,0.67,0.67,0.67
16,"Unanswered","US",2,2,2,4,3,4,3,3,3,3,3,1,3,3,3,0.4,0.73,0.6,0.47,0.6
24,"Female","PK",2,1,3,5,4,5,4,5,4,2,3,2,5,4,3,0.4,0.93,0.87,0.47,0.8
28,"Unanswered","IN",4,5,5,5,5,5,5,3,4,4,5,4,5,5,4,0.93,1,0.8,0.87,0.93
29,"Female","AU",1,1,2,3,4,3,3,3,2,3,5,3,1,5,5,0.27,0.67,0.53,0.73,0.73
22,"Female","GB",4,5,2,2,3,2,4,4,2,4,4,3,5,4,4,0.73,0.47,0.67,0.73,0.87
20,"Female","IN",1,3,3,2,4,4,3,4,2,2,2,2,4,3,4,0.47,0.67,0.6,0.4,0.73
21,"Unanswered","IN",1,4,4,5,4,2,5,5,4,3,3,3,2,5,2,0.6,0.73,0.93,0.6,0.6
31,"Female","US",4,4,4,3,3,2,5,4,4,3,4,2,5,5,5,0.8,0.53,0.87,0.6,1
64,"Female","FR",3,3,2,4,4,1,5,4,5,3,4,4,4,4,4,0.53,0.6,0.93,0.73,0.8
19,"Unanswered","MY",4,4,3,5,5,5,4,5,3,4,3,4,5,4,4,0.73,1,0.8,0.73,0.87
28,"Female","DK",2,2,2,1,4,2,4,2,4,3,4,2,4,4,2,0.4,0.47,0.67,0.6,0.67
23,"Unanswered","DK",5,5,5,2,4,2,5,5,5,2,3,4,5,4,4,1,0.53,1,0.6,0.87
22,"Unanswered","DK",2,4,4,1,2,1,5,4,5,2,3,2,3,4,1,0.67,0.27,0.93,0.47,0.53
42,"Unanswered","AU",1,2,3,2,2,1,3,3,3,5,5,4,4,5,4,0.4,0.33,0.6,0.93,0.87
21,"Unanswered","DK",3,5,4,1,3,1,5,5,4,4,4,4,3,4,4,0.8,0.33,0.93,0.8,0.73
29,"Female","DK",2,4,2,1,2,2,4,5,4,2,2,2,3,3,4,0.53,0.33,0.87,0.4,0.67
45,"Unanswered","GB",3,2,5,3,5,2,5,5,5,3,5,3,5,5,4,0.67,0.67,1,0.73,0.93
28,"Female","IN",2,3,5,2,3,3,3,3,2,4,4,3,2,4,2,0.67,0.53,0.53,0.73,0.53
19,"Unanswered","IN",1,3,4,2,1,3,5,5,5,3,1,1,3,5,3,0.53,0.4,1,0.33,0.73
50,"Female","US",3,3,5,2,3,2,4,4,3,4,3,2,5,5,5,0.73,0.47,0.73,0.6,1
21,"Unanswered","TR",2,5,5,1,2,4,5,4,4,5,5,5,5,5,3,0.8,0.47,0.87,1,0.87
16,"Other","PH",1,5,5,2,5,5,4,4,3,2,1,4,5,2,1,0.73,0.8,0.73,0.47,0.53
41,"Female","GB",4,5,5,1,4,1,5,5,5,4,5,5,5,5,5,0.93,0.4,1,0.93,1
44,"Unanswered","AU",3,3,4,5,4,4,4,4,3,2,2,2,4,4,4,0.67,0.87,0.73,0.4,0.8
33,"Female","US",1,5,4,1,4,4,4,4,5,3,5,4,4,4,5,0.67,0.6,0.87,0.8,0.87
60,"Unanswered","SE",4,5,5,3,3,4,5,4,5,5,4,4,5,5,4,0.93,0.67,0.93,0.87,0.93
15,"Female","PH",1,3,2,3,4,4,4,5,3,2,3,1,5,4,5,0.4,0.73,0.8,0.4,0.93
23,"Unanswered","DK",3,5,4,3,4,2,5,5,3,4,4,5,5,4,3,0.8,0.6,0.87,0.87,0.8
32,"Female","US",4,3,4,3,4,3,4,4,4,3,4,4,5,4,5,0.73,0.67,0.8,0.73,0.93
22,"Unanswered","DK",3,4,2,3,5,2,5,5,3,3,2,1,5,4,4,0.6,0.67,0.87,0.4,0.87
19,"Unanswered","AU",1,4,2,4,5,2,4,4,3,4,1,5,1,3,1,0.47,0.73,0.73,0.67,0.33
16,"Female","DK",2,5,4,1,2,1,4,5,5,3,5,3,3,5,4,0.73,0.27,0.93,0.73,0.8
37,"Female","DK",3,4,5,1,2,1,3,5,5,4,4,2,5,5,4,0.8,0.27,0.87,0.67,0.93
25,"Unanswered","US",1,1,1,3,4,2,2,1,4,4,5,3,2,4,4,0.2,0.6,0.47,0.8,0.67
27,"Unanswered","CA",4,5,5,4,4,4,5,5,5,3,3,3,5,3,5,0.93,0.8,1,0.6,0.87
36,"Unanswered","PK",5,5,4,2,5,3,4,5,5,4,4,5,3,5,5,0.93,0.67,0.93,0.87,0.87
37,"Female","NO",1,5,3,1,3,3,4,4,4,5,5,3,5,4,4,0.6,0.47,0.8,0.87,0.87
22,"Unanswered","DK",5,5,5,1,5,4,5,5,5,3,5,2,5,5,4,1,0.67,1,0.67,0.93
25,"Unanswered","DK",2,3,2,5,5,4,4,5,3,4,4,2,4,5,3,0.47,0.93,0.8,0.67,0.8
24,"Unanswered","US",2,4,3,2,4,2,4,4,4,4,4,1,4,4,4,0.6,0.53,0.8,0.6,0.8
17,"Female","US",2,1,2,2,2,1,1,1,2,2,4,4,4,5,4,0.33,0.33,0.27,0.67,0.87
33,"Unanswered","GB",3,5,4,4,4,3,4,5,2,2,4,4,3,3,4,0.8,0.73,0.73,0.67,0.67
35,"Female","GB",5,5,5,4,4,4,4,3,3,5,5,5,5,5,5,1,0.8,0.67,1,1
26,"Unanswered","US",3,4,4,2,3,2,5,4,4,4,3,4,3,4,4,0.73,0.47,0.87,0.73,0.73
20,"Unanswered","ZA",1,5,5,5,5,4,5,5,3,4,4,3,5,4,3,0.73,0.93,0.87,0.73,0.8
37,"Unanswered","GR",3,5,3,4,3,4,4,4,5,4,2,4,2,4,3,0.73,0.73,0.87,0.67,0.6
28,"Unanswered","DK",3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,0.6,0.6,0.8,0.73,0.8
16,"Unanswered","US",1,2,4,5,5,5,4,5,3,4,4,5,5,4,5,0.47,1,0.8,0.87,0.93
20,"Unanswered","MY",4,3,5,5,5,5,3,5,3,3,3,3,3,3,3,0.8,1,0.73,0.6,0.6
26,"Unanswered","PH",1,2,4,5,5,5,2,4,1,5,5,4,4,5,4,0.47,1,0.47,0.93,0.87
16,"Unanswered","US",5,5,5,4,5,5,5,1,1,5,5,5,1,5,5,1,0.93,0.47,1,0.73
15,"Unanswered","US",1,1,1,4,5,2,5,5,4,2,5,4,5,5,4,0.2,0.73,0.93,0.73,0.93
20,"Female","PH",2,2,3,3,4,5,3,3,4,3,2,2,4,4,4,0.47,0.8,0.67,0.47,0.8
20,"Female","IN",2,4,3,3,4,2,3,4,3,3,2,4,2,4,4,0.6,0.6,0.67,0.6,0.67
18,"Unanswered","IN",2,4,4,4,4,3,5,4,3,4,3,5,4,5,5,0.67,0.73,0.8,0.8,0.93
16,"Female","GB",3,3,4,4,4,3,4,4,4,2,4,3,4,4,3,0.67,0.73,0.8,0.6,0.73
21,"Female","MY",1,2,2,3,4,4,3,5,4,2,3,3,3,3,2,0.33,0.73,0.8,0.53,0.53
15,"Unanswered","ID",3,3,2,4,5,4,4,5,3,4,5,3,4,4,4,0.53,0.87,0.8,0.8,0.8
21,"Unanswered","DK",4,4,4,4,5,4,4,5,4,5,4,4,2,4,4,0.8,0.87,0.87,0.87,0.67
22,"Female","PK",2,5,5,1,4,2,4,4,4,3,3,4,3,4,4,0.8,0.47,0.8,0.67,0.73
21,"Unanswered","US",2,3,4,2,4,3,4,3,4,4,5,4,5,5,5,0.6,0.6,0.73,0.87,1
17,"Female","JP",3,4,4,3,2,2,4,4,3,3,4,2,4,4,5,0.73,0.47,0.73,0.6,0.87
38,"Female","US",1,4,4,2,2,3,5,4,4,3,2,2,4,5,5,0.6,0.47,0.87,0.47,0.93
17,"Female","US",1,1,1,1,1,1,1,1,5,5,5,1,1,5,5,0.2,0.2,0.47,0.73,0.73
21,"Unanswered","US",3,4,5,3,5,2,5,4,4,4,4,3,5,4,4,0.8,0.67,0.87,0.73,0.87
29,"Female","TR",5,5,5,3,5,3,5,5,5,3,5,5,5,5,5,1,0.73,1,0.87,1
18,"Female","GB",3,3,5,5,5,4,4,4,4,4,5,4,5,5,5,0.73,0.93,0.8,0.87,1
62,"Female","IN",3,4,3,1,3,1,4,4,4,5,5,5,3,5,4,0.67,0.33,0.8,1,0.8
17,"Unanswered","GB",3,3,4,3,4,3,4,4,4,2,4,2,4,3,4,0.67,0.67,0.8,0.53,0.73
20,"Unanswered","US",3,4,4,1,2,2,5,3,3,4,5,2,5,5,4,0.73,0.33,0.73,0.73,0.93
25,"Female","US",4,5,5,2,3,3,4,3,5,3,5,1,4,5,5,0.93,0.53,0.8,0.6,0.93
43,"Female","IN",3,4,2,1,2,1,5,5,4,4,5,4,4,5,4,0.6,0.27,0.93,0.87,0.87
34,"Female","IN",4,4,3,3,4,3,4,4,4,3,4,3,4,3,4,0.73,0.67,0.8,0.67,0.73
25,"Female","US",4,5,5,1,1,2,5,3,5,2,5,1,5,5,5,0.93,0.27,0.87,0.53,1
16,"Female","US",3,4,3,3,3,5,3,4,5,4,4,2,5,5,4,0.67,0.73,0.8,0.67,0.93
39,"Unanswered","US",1,2,2,3,4,2,4,4,4,5,5,4,3,5,5,0.33,0.6,0.8,0.93,0.87
22,"Female","IN",4,5,4,1,3,2,5,5,4,1,5,3,5,5,5,0.87,0.4,0.93,0.6,1
19,"Female","MY",4,2,4,4,4,2,4,3,2,2,3,2,3,3,3,0.67,0.67,0.6,0.47,0.6
26,"Unanswered","IN",3,4,5,5,5,4,5,5,5,4,4,2,4,4,4,0.8,0.93,1,0.67,0.8
49,"Female","US",3,3,4,1,4,2,3,2,4,4,4,3,4,4,4,0.67,0.47,0.6,0.73,0.8
23,"Female","CM",2,4,4,2,3,2,5,4,4,4,4,3,4,4,5,0.67,0.47,0.87,0.73,0.87
24,"Female","PT",4,4,5,2,2,3,3,2,3,3,3,3,5,5,5,0.87,0.47,0.53,0.6,1
13,"Unanswered","US",3,3,4,4,4,4,3,3,3,3,2,3,4,3,4,0.67,0.8,0.6,0.53,0.73
16,"Female","ID",5,5,5,2,5,2,1,5,5,2,5,3,3,5,3,1,0.6,0.73,0.67,0.73
21,"Unanswered","PH",4,4,5,4,5,4,4,4,5,3,5,2,5,4,4,0.87,0.87,0.87,0.67,0.87
36,"Unanswered","US",3,5,4,3,3,2,5,5,4,3,3,3,3,4,3,0.8,0.53,0.93,0.6,0.67
22,"Unanswered","PK",3,3,1,3,3,2,3,5,2,3,3,5,5,3,5,0.47,0.53,0.67,0.73,0.87
25,"Female","US",2,4,5,1,2,2,3,4,3,5,4,5,5,5,4,0.73,0.33,0.67,0.93,0.93
29,"Unanswered","US",2,4,5,3,5,3,5,4,3,3,5,3,5,4,4,0.73,0.73,0.8,0.73,0.87
40,"Unanswered","US",4,5,5,1,1,1,5,5,5,5,5,4,4,4,5,0.93,0.2,1,0.93,0.87
44,"Female","GB",2,3,4,3,4,4,4,4,3,2,3,4,5,4,4,0.6,0.73,0.73,0.6,0.87
17,"Unanswered","GB",2,2,1,4,5,4,3,5,5,5,5,2,5,5,5,0.33,0.87,0.87,0.8,1
43,"Unanswered","US",2,4,3,4,5,4,4,4,3,4,4,4,4,4,3,0.6,0.87,0.73,0.8,0.73
20,"Unanswered","US",2,4,4,3,5,4,5,5,5,4,4,5,5,5,4,0.67,0.8,1,0.87,0.93
24,"Unanswered","IL",1,4,2,1,2,2,2,4,4,3,4,3,5,4,3,0.47,0.33,0.67,0.67,0.8
21,"Unanswered","US",2,3,5,3,3,4,3,3,4,3,5,4,5,5,5,0.67,0.67,0.67,0.8,1
22,"Female","GB",3,4,3,4,4,2,4,3,3,3,4,2,3,4,3,0.67,0.67,0.67,0.6,0.67
48,"Unanswered","US",2,5,5,4,4,3,4,5,5,3,5,3,3,4,3,0.8,0.73,0.93,0.73,0.67
26,"Unanswered","US",3,3,2,5,5,5,5,4,4,3,4,1,2,3,3,0.53,1,0.87,0.53,0.53
21,"Unanswered","US",1,2,2,5,5,4,4,5,3,3,3,1,5,4,2,0.33,0.93,0.8,0.47,0.73
32,"Unanswered","AE",4,5,4,4,1,4,4,5,5,3,2,5,4,4,3,0.87,0.6,0.93,0.67,0.73
20,"Unanswered","PH",3,2,4,2,3,1,5,4,4,4,5,2,5,5,3,0.6,0.4,0.87,0.73,0.87
15,"Female","CA",1,3,2,4,4,3,3,4,4,5,5,5,4,4,4,0.4,0.73,0.73,1,0.8
28,"Female","IN",3,2,1,5,5,5,5,5,3,1,5,3,5,3,5,0.4,1,0.87,0.6,0.87
43,"Unanswered","US",1,3,3,2,3,1,5,5,4,3,5,4,5,5,4,0.47,0.4,0.93,0.8,0.93
15,"Unanswered","GB",1,1,2,4,4,1,4,4,2,3,4,2,5,4,5,0.27,0.6,0.67,0.6,0.93
42,"Female","AE",4,4,3,4,4,5,5,5,4,1,5,3,5,4,2,0.73,0.87,0.93,0.6,0.73
37,"Unanswered","US",3,4,5,5,5,3,5,5,4,4,5,4,5,4,3,0.8,0.87,0.93,0.87,0.8
25,"Female","DE",3,3,1,3,5,1,3,4,2,2,4,3,4,4,3,0.47,0.6,0.6,0.6,0.73
28,"Unanswered","PH",1,3,3,2,4,3,3,4,3,3,4,3,4,4,4,0.47,0.6,0.67,0.67,0.8
35,"Unanswered","US",5,5,4,5,2,4,4,4,3,2,5,2,4,3,5,0.93,0.73,0.73,0.6,0.8
18,"Unanswered","US",2,3,5,4,5,5,5,5,4,2,5,3,5,4,4,0.67,0.93,0.93,0.67,0.87
22,"Unanswered","GB",4,2,4,4,5,5,5,4,4,4,4,4,4,2,4,0.67,0.93,0.87,0.8,0.67
26,"Unanswered","FI",3,4,4,4,4,3,4,5,3,4,5,5,2,4,5,0.73,0.73,0.8,0.93,0.73
23,"Unanswered","NL",4,3,3,2,3,2,5,4,4,4,5,3,5,4,5,0.67,0.47,0.87,0.8,0.93
21,"Unanswered","US",4,5,5,5,5,5,5,5,4,5,4,5,5,4,4,0.93,1,0.93,0.93,0.87
34,"Female","US",1,2,1,5,5,4,3,4,2,4,5,4,5,5,5,0.27,0.93,0.6,0.87,1
47,"Unanswered","GB",2,4,4,3,3,2,5,3,3,4,4,4,5,4,5,0.67,0.53,0.73,0.8,0.93
35,"Female","AE",4,4,2,3,1,2,4,4,4,4,1,4,3,5,4,0.67,0.4,0.8,0.6,0.8
51,"Unanswered","US",3,5,5,2,3,1,5,5,5,4,5,4,3,5,3,0.87,0.4,1,0.87,0.73
51,"Female","GB",1,1,2,5,5,4,2,3,3,2,3,3,4,4,2,0.27,0.93,0.53,0.53,0.67
18,"Unanswered","US",2,2,4,5,5,5,5,4,3,3,5,3,4,5,5,0.53,1,0.8,0.73,0.93
43,"Female","GB",2,3,2,1,2,2,5,5,4,3,3,4,4,5,4,0.47,0.33,0.93,0.67,0.87
58,"Unanswered","US",1,3,3,1,1,1,3,5,4,5,5,5,5,5,5,0.47,0.2,0.8,1,1
24,"Female","US",2,1,1,3,1,2,2,5,1,2,4,1,4,4,3,0.27,0.4,0.53,0.47,0.73
21,"Unanswered","IN",3,4,4,3,3,3,4,3,4,3,4,2,3,3,3,0.73,0.6,0.73,0.6,0.6
19,"Unanswered","IN",5,5,5,2,3,4,4,4,4,3,4,2,5,3,3,1,0.6,0.8,0.6,0.73
31,"Unanswered","US",5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,0.2,1,1,1
25,"Female","RO",4,4,2,2,4,2,3,5,3,1,5,1,5,4,4,0.67,0.53,0.73,0.47,0.87
21,"Female","GB",1,2,1,5,5,2,3,2,3,5,5,4,3,4,3,0.27,0.8,0.53,0.93,0.67
21,"Female","IN",1,5,5,1,1,1,5,1,5,5,5,5,5,5,5,0.73,0.2,0.73,1,1
49,"Unanswered","CA",3,5,5,1,2,1,5,4,4,4,5,1,2,4,4,0.87,0.27,0.87,0.67,0.67
17,"Unanswered","US",1,5,5,4,5,3,4,4,3,1,4,5,3,3,3,0.73,0.8,0.73,0.67,0.6
22,"Unanswered","US",4,4,4,4,5,4,5,5,4,5,5,4,5,4,5,0.8,0.87,0.93,0.93,0.93
53,"Female","US",4,5,5,2,5,1,5,5,5,4,5,2,5,4,5,0.93,0.53,1,0.73,0.93
50,"Unanswered","NZ",1,4,5,3,4,1,5,5,5,2,4,2,4,5,4,0.67,0.53,1,0.53,0.87
18,"Unanswered","US",1,1,1,4,4,3,2,2,2,3,3,3,5,4,5,0.2,0.73,0.4,0.6,0.93
19,"Unanswered","GB",1,2,3,4,5,2,5,4,3,4,5,4,2,4,2,0.4,0.73,0.8,0.87,0.53
25,"Female","GB",3,4,4,2,4,2,4,4,4,3,5,4,2,4,2,0.73,0.53,0.8,0.8,0.53
14,"Unanswered","GB",1,3,1,5,5,5,4,3,3,3,4,3,4,4,2,0.33,1,0.67,0.67,0.67
17,"Other","BR",2,1,1,5,4,5,3,3,4,2,3,3,4,5,3,0.27,0.93,0.67,0.53,0.8
16,"Unanswered","EG",3,2,1,3,3,5,5,3,3,3,3,1,4,4,3,0.4,0.73,0.73,0.47,0.73
45,"Female","CA",3,2,2,4,4,4,2,4,4,3,5,4,5,4,4,0.47,0.8,0.67,0.8,0.87
18,"Unanswered","PT",2,3,3,3,4,2,5,4,4,2,4,4,4,3,3,0.53,0.6,0.87,0.67,0.67
23,"Unanswered","US",1,2,5,5,5,5,5,5,4,4,4,4,5,4,2,0.53,1,0.93,0.8,0.73
24,"Unanswered","CA",2,5,5,3,4,2,5,5,4,4,4,2,5,4,3,0.8,0.6,0.93,0.67,0.8
32,"Female","US",3,4,4,2,2,2,5,5,4,4,4,4,5,4,4,0.73,0.4,0.93,0.8,0.87
28,"Female","AU",2,1,1,1,1,1,1,2,5,2,1,1,5,2,5,0.27,0.2,0.53,0.27,0.8
26,"Unanswered","GB",3,5,5,5,5,4,5,5,4,2,4,3,5,4,3,0.87,0.93,0.93,0.6,0.8
63,"Unanswered","US",3,5,5,5,5,4,3,4,4,4,4,4,3,5,4,0.87,0.93,0.73,0.8,0.8
18,"Unanswered","HU",4,3,4,2,4,2,5,3,5,2,3,1,5,5,5,0.73,0.53,0.87,0.4,1
21,"Female","DE",1,4,3,4,4,3,4,5,3,3,4,1,5,4,4,0.53,0.73,0.8,0.53,0.87
70,"Unanswered","NZ",1,1,2,4,5,4,3,4,1,3,2,3,3,1,2,0.27,0.87,0.53,0.53,0.4
40,"Unanswered","AU",1,1,1,3,5,3,3,5,2,1,3,2,4,4,4,0.2,0.73,0.67,0.4,0.8
17,"Female","BR",2,3,4,4,4,4,4,4,3,4,4,2,5,4,3,0.6,0.8,0.73,0.67,0.8
21,"Unanswered","US",3,3,3,4,5,4,5,5,3,4,5,4,4,5,3,0.6,0.87,0.87,0.87,0.8
34,"Female","SA",4,4,5,4,5,3,5,5,4,2,3,2,4,3,5,0.87,0.8,0.93,0.47,0.8
57,"Female","US",3,5,5,4,4,1,5,5,5,4,4,3,5,5,4,0.87,0.6,1,0.73,0.93
30,"Unanswered","US",4,5,5,3,4,2,5,5,4,4,4,5,5,4,5,0.93,0.6,0.93,0.87,0.93
25,"Unanswered","US",1,2,4,4,5,5,2,5,1,5,2,3,5,4,5,0.47,0.93,0.53,0.67,0.93
25,"Female","CA",1,3,2,2,3,4,4,2,4,3,2,3,5,4,5,0.4,0.6,0.67,0.53,0.93
20,"Unanswered","US",3,3,3,3,3,3,5,3,3,3,3,3,3,1,4,0.6,0.6,0.73,0.6,0.53
17,"Unanswered","US",4,5,5,2,3,4,4,4,5,4,3,1,4,3,4,0.93,0.6,0.87,0.53,0.73
26,"Unanswered","AU",2,3,3,4,3,4,3,3,4,3,3,4,4,3,3,0.53,0.73,0.67,0.67,0.67
24,"Unanswered","US",1,2,4,3,4,3,4,5,5,1,4,3,5,1,5,0.47,0.67,0.93,0.53,0.73
22,"Unanswered","US",3,4,3,2,2,1,4,4,3,3,3,3,5,5,5,0.67,0.33,0.73,0.6,1
16,"Unanswered","PH",2,1,2,5,2,2,4,3,4,2,3,2,5,5,5,0.33,0.6,0.73,0.47,1
16,"Unanswered","US",5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,0.73,1,0.93,1,1
19,"Female","MY",4,4,4,5,4,5,4,5,4,3,3,5,4,3,3,0.8,0.93,0.87,0.73,0.67
19,"Female","IN",4,4,3,3,3,3,3,2,2,3,3,1,3,4,4,0.73,0.6,0.47,0.47,0.73
18,"Female","CA",4,5,5,5,5,2,4,5,5,4,3,3,5,4,5,0.93,0.8,0.93,0.67,0.93
16,"Female","US",4,5,4,2,1,2,5,4,5,2,4,1,5,4,5,0.87,0.33,0.93,0.47,0.93
16,"Other","US",2,3,4,4,4,4,5,3,3,2,5,2,5,4,5,0.6,0.8,0.73,0.6,0.93
23,"Female","KR",1,3,5,4,4,4,3,4,3,3,3,5,5,4,3,0.6,0.8,0.67,0.73,0.8
29,"Unanswered","US",4,4,3,2,4,3,4,4,4,3,3,2,5,2,4,0.73,0.6,0.8,0.53,0.73
25,"Unanswered","CA",2,4,4,4,5,2,3,4,5,4,4,4,2,4,3,0.67,0.73,0.8,0.8,0.6
19,"Female","US",3,4,2,3,5,2,5,5,5,4,4,3,4,5,4,0.6,0.67,1,0.73,0.87
18,"Female","US",2,2,2,2,4,2,2,2,3,3,4,4,4,4,4,0.4,0.53,0.47,0.73,0.8
23,"Female","IN",5,1,5,5,5,1,5,5,1,1,1,1,5,5,5,0.73,0.73,0.73,0.2,1
16,"Female","US",5,5,5,2,1,1,4,4,4,3,4,3,5,5,5,1,0.27,0.8,0.67,1
27,"Female","AE",1,2,2,4,4,1,4,5,4,4,5,5,4,3,3,0.33,0.6,0.87,0.93,0.67
19,"Female","BR",3,3,1,4,4,4,4,4,2,4,4,4,5,5,4,0.47,0.8,0.67,0.8,0.93
20,"Unanswered","US",3,5,5,3,4,4,4,5,3,4,5,4,5,4,5,0.87,0.73,0.8,0.87,0.93
14,"Female","US",2,2,4,3,5,4,4,2,3,4,4,4,4,5,4,0.53,0.8,0.6,0.8,0.87
15,"Unanswered","US",1,1,1,5,5,5,5,5,4,1,1,4,1,1,1,0.2,1,0.93,0.4,0.2
25,"Female","US",2,4,4,2,4,2,5,5,5,4,5,4,5,4,4,0.67,0.53,1,0.87,0.87
20,"Unanswered","US",3,4,4,2,3,1,5,5,5,5,5,5,5,5,5,0.73,0.4,1,1,1
20,"Unanswered","US",3,5,1,5,3,1,3,3,4,5,5,5,5,5,5,0.6,0.6,0.67,1,1
17,"Female","JP",2,3,2,3,2,2,2,2,2,4,4,4,4,4,4,0.47,0.47,0.4,0.8,0.8
27,"Unanswered","US",3,4,4,4,4,2,5,4,4,3,4,3,2,4,4,0.73,0.67,0.87,0.67,0.67
18,"Unanswered","IN",1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.73,1,1,1,1
15,"Unanswered","US",1,1,2,5,5,5,3,4,1,2,3,1,4,4,4,0.27,1,0.53,0.4,0.8
23,"Unanswered","IN",2,4,1,4,4,4,2,5,5,3,3,4,2,5,3,0.47,0.8,0.8,0.67,0.67
23,"Female","PK",3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0.67,0.8,0.8,0.8,0.8
27,"Unanswered","US",3,3,4,3,4,3,4,4,3,3,3,3,3,3,4,0.67,0.67,0.73,0.6,0.67
15,"Female","DO",4,2,3,2,3,5,2,2,3,5,4,3,5,5,5,0.6,0.67,0.47,0.8,1
20,"Female","US",3,4,4,2,3,4,4,4,3,3,4,2,5,5,5,0.73,0.6,0.73,0.6,1
20,"Female","MY",3,3,4,3,4,2,5,4,5,2,4,5,4,5,4,0.67,0.6,0.93,0.73,0.87
30,"Female","PK",4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0.93,1,1,1,0.47
21,"Unanswered","TR",3,5,5,3,3,3,5,5,5,5,5,5,4,5,5,0.87,0.6,1,1,0.93
70,"Unanswered","US",1,3,5,3,4,1,5,5,5,4,5,5,5,3,5,0.6,0.53,1,0.93,0.87
17,"Unanswered","PH",1,3,2,3,4,4,3,2,3,4,3,3,3,4,3,0.4,0.73,0.53,0.67,0.67
31,"Unanswered","QA",3,5,4,3,3,4,4,4,5,4,3,4,4,4,5,0.8,0.67,0.87,0.73,0.87
24,"Female","IN",4,1,5,3,4,2,5,2,5,2,4,1,5,4,2,0.67,0.6,0.8,0.47,0.73
21,"Unanswered","US",2,3,2,3,4,4,4,5,5,4,5,3,2,4,2,0.47,0.73,0.93,0.8,0.53
27,"Female","IE",3,1,5,1,1,5,5,5,5,5,5,5,5,5,4,0.6,0.47,1,1,0.93
16,"Female","MX",3,5,3,1,4,2,5,3,3,2,4,1,5,5,5,0.73,0.47,0.73,0.47,1
16,"Female","US",1,2,4,4,5,4,5,5,4,2,4,2,5,5,5,0.47,0.87,0.93,0.53,1
45,"Female","GB",2,4,4,4,5,2,4,4,4,4,4,2,5,4,4,0.67,0.73,0.8,0.67,0.87
17,"Unanswered","AU",4,3,4,5,4,3,3,4,4,5,4,4,4,3,4,0.73,0.8,0.73,0.87,0.73
14,"Unanswered","US",1,2,1,4,3,5,3,4,1,3,5,5,5,5,5,0.27,0.8,0.53,0.87,1
20,"Female","IN",4,4,1,3,5,5,5,5,5,4,5,5,4,5,5,0.6,0.87,1,0.93,0.93
18,"Female","AU",4,5,4,3,4,3,5,5,4,2,4,2,4,3,4,0.87,0.67,0.93,0.53,0.73
56,"Unanswered","AU",3,4,4,2,5,2,5,4,5,4,4,4,4,5,5,0.73,0.6,0.93,0.8,0.93
23,"Unanswered","US",1,1,1,5,5,5,1,5,5,5,5,1,5,5,5,0.2,1,0.73,0.73,1
16,"Unanswered","FI",1,4,4,5,4,1,5,4,2,4,5,4,5,4,4,0.6,0.67,0.73,0.87,0.87
44,"Unanswered","AU",4,4,5,2,2,2,4,4,4,4,4,4,4,4,5,0.87,0.4,0.8,0.8,0.87
17,"Unanswered","PH",1,2,3,4,3,4,3,3,3,4,3,3,4,2,4,0.4,0.73,0.6,0.67,0.67
20,"Unanswered","IN",2,3,3,2,3,3,4,5,4,3,4,4,4,4,4,0.53,0.53,0.87,0.73,0.8
49,"Female","GB",1,2,4,4,2,2,2,4,4,4,4,4,5,4,4,0.47,0.53,0.67,0.8,0.87
21,"Female","MY",5,4,5,2,5,4,4,5,4,5,5,5,2,5,4,0.93,0.73,0.87,1,0.73
1994,"Female","BD",1,4,3,3,3,2,4,3,3,2,5,4,3,4,3,0.53,0.53,0.67,0.73,0.67
20,"Unanswered","IN",4,4,4,3,3,4,5,3,4,5,3,5,4,5,4,0.8,0.67,0.8,0.87,0.87
21,"Unanswered","VN",3,2,4,1,4,1,5,5,3,2,5,4,5,5,4,0.6,0.4,0.87,0.73,0.93
16,"Female","AE",3,5,4,1,1,1,5,4,4,5,5,1,4,4,5,0.8,0.2,0.87,0.73,0.87
13,"Unanswered","AU",4,4,5,3,4,4,5,5,4,4,5,3,3,4,5,0.87,0.73,0.93,0.8,0.8
25,"Female","IN",3,5,5,5,4,4,5,5,5,4,2,1,5,5,4,0.87,0.87,1,0.47,0.93
25,"Female","NZ",3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0.73,0.73,0.8,0.8,0.8
22,"Female","US",4,5,5,4,3,3,5,3,4,2,2,1,5,5,5,0.93,0.67,0.8,0.33,1
23,"Female","IN",4,4,5,2,2,3,4,4,4,4,2,3,5,5,5,0.87,0.47,0.8,0.6,1
23,"Unanswered","DK",4,4,4,3,4,4,4,4,3,4,5,4,4,4,3,0.8,0.73,0.73,0.87,0.73
41,"Female","US",1,3,2,4,5,3,4,2,4,4,2,4,4,3,2,0.4,0.8,0.67,0.67,0.6
